,id,url,type,age,gender,size,coat,breed,photos,med_photos
0,46744842,https://www.petfinder.com/cat/arianna-46744842/ny/port-chester/nyc-bronx-westchester-cat-coalition-nyc-cat-coalition-ny622/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Adult,Female,Medium,,Abyssinian,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46744842/1/?bust=1575403984&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46744842/1/?bust=1575403984&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46744842/1/?bust=1575403984&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46744842/1/?bust=1575403984'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46744842/3/?bust=1575403984&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46744842/3/?bust=1575403984&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46744842/3/?bust=1575403984&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46744842/3/?bust=1575403984'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46744842/2/?bust=1575403984&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46744842/2/?bust=1575403984&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46744842/2/?bust=1575403984&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46744842/2/?bust=1575403984'}]","['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46744842/1/?bust=1575403984&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46744842/3/?bust=1575403984&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46744842/2/?bust=1575403984&width=300']"
1,46717321,https://www.petfinder.com/cat/ozzy-46717321/oh/zanesville/the-animal-shelter-society-inc-oh181/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Adult,Male,Extra Large,,Abyssinian,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46717321/1/?bust=1575099676&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46717321/1/?bust=1575099676&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46717321/1/?bust=1575099676&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46717321/1/?bust=1575099676'}]",['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46717321/1/?bust=1575099676&width=300']
2,46626338,https://www.petfinder.com/cat/zena-46626338/ca/santa-barbara/santa-barbara-county-animal-services-santa-barbara-shelter-ca63/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Senior,Female,Medium,,Abyssinian,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46626338/1/?bust=1575423383&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46626338/1/?bust=1575423383&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46626338/1/?bust=1575423383&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46626338/1/?bust=1575423383'}]",['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46626338/1/?bust=1575423383&width=300']
3,46620170,https://www.petfinder.com/cat/mika-46620170/ca/la-puente/vida-rescue-ca2713/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Baby,Female,Small,Short,Abyssinian,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46620170/1/?bust=1574168525&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46620170/1/?bust=1574168525&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46620170/1/?bust=1574168525&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46620170/1/?bust=1574168525'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46620170/2/?bust=1574168528&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46620170/2/?bust=1574168528&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46620170/2/?bust=1574168528&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46620170/2/?bust=1574168528'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46620170/3/?bust=1574339804&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46620170/3/?bust=1574339804&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46620170/3/?bust=1574339804&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46620170/3/?bust=1574339804'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46620170/4/?bust=1574339805&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46620170/4/?bust=1574339805&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46620170/4/?bust=1574339805&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46620170/4/?bust=1574339805'}]","['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46620170/1/?bust=1574168525&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46620170/2/?bust=1574168528&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46620170/3/?bust=1574339804&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46620170/4/?bust=1574339805&width=300']"
4,46582751,https://www.petfinder.com/cat/ruby-46582751/fl/titusville/spca-of-brevard-fl76/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Young,Female,Medium,,Abyssinian,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46582751/1/?bust=1575359381&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46582751/1/?bust=1575359381&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46582751/1/?bust=1575359381&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46582751/1/?bust=1575359381'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46582751/2/?bust=1575359380&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46582751/2/?bust=1575359380&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46582751/2/?bust=1575359380&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46582751/2/?bust=1575359380'}]","['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46582751/1/?bust=1575359381&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46582751/2/?bust=1575359380&width=300']"
5,46503423,https://www.petfinder.com/cat/dakota-46503423/ar/eureka-springs/good-shepherd-humane-society-ar36/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Young,Male,Medium,,Abyssinian,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46503423/1/?bust=1575369302&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46503423/1/?bust=1575369302&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46503423/1/?bust=1575369302&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46503423/1/?bust=1575369302'}]",['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46503423/1/?bust=1575369302&width=300']
6,46499754,https://www.petfinder.com/cat/triscuit-46499754/ca/sacramento/sacramento-county-animal-care-and-regulation-ca348/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Adult,Female,Medium,,Abyssinian,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46499754/1/?bust=1575181607&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46499754/1/?bust=1575181607&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46499754/1/?bust=1575181607&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46499754/1/?bust=1575181607'}]",['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46499754/1/?bust=1575181607&width=300']
7,46463847,https://www.petfinder.com/cat/kingston-46463847/pa/kimberton/northeast-abyssinian-rescue-pa991/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Adult,Male,Medium,Short,Abyssinian,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46463847/3/?bust=1572785411&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46463847/3/?bust=1572785411&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46463847/3/?bust=1572785411&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46463847/3/?bust=1572785411'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46463847/1/?bust=1572785395&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46463847/1/?bust=1572785395&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46463847/1/?bust=1572785395&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46463847/1/?bust=1572785395'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46463847/2/?bust=1572785403&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46463847/2/?bust=1572785403&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46463847/2/?bust=1572785403&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46463847/2/?bust=1572785403'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46463847/4/?bust=1572785424&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46463847/4/?bust=1572785424&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46463847/4/?bust=1572785424&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46463847/4/?bust=1572785424'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46463847/5/?bust=1572785441&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46463847/5/?bust=1572785441&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46463847/5/?bust=1572785441&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46463847/5/?bust=1572785441'}]","['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46463847/3/?bust=1572785411&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46463847/1/?bust=1572785395&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46463847/2/?bust=1572785403&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46463847/4/?bust=1572785424&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46463847/5/?bust=1572785441&width=300']"
8,46434624,https://www.petfinder.com/cat/exy-46434624/tx/san-antonio/san-antonio-feral-cat-coalition-tx841/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Baby,Female,Small,,Abyssinian,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46434624/1/?bust=1575458725&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46434624/1/?bust=1575458725&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46434624/1/?bust=1575458725&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46434624/1/?bust=1575458725'}]",['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46434624/1/?bust=1575458725&width=300']
9,46378434,https://www.petfinder.com/cat/dusty-46378434/il/kell/city-of-salem-animal-control-il828/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Baby,Male,Small,,Abyssinian,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46378434/1/?bust=1574764464&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46378434/1/?bust=1574764464&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46378434/1/?bust=1574764464&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46378434/1/?bust=1574764464'}]",['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46378434/1/?bust=1574764464&width=300']
